ts,arr_e_req,client_bill,assigned_type,realized_type,fail_time,fail_energy1,fail_energy2,fail_energy_both,fail_IR,chg_e_req,imbalance_bill,n_cars,avg_lax,payoff
174580.0,,,,,,,,,,0.0,0.0,0.0,0.0,
174581.0,10.779999999999994,0.6899199999999996,"[[0. 0. 1.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 1. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,-0.13749999953180925,-0.3888499986759565,1.0,0.19862557279623158,0.0
174582.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.005669512214781096,0.0075563258798602454,1.0,0.16666666666648153,0.0
174583.0,51.205,3.27712,"[[0. 0. 0.]
 [0. 1. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,1.0,1.0,0.0,0.2749999998960476,0.24001999990927034,2.0,0.24166666664128092,0.0
174584.0,83.9762,5.3744768,"[[1. 0. 1.]
 [0. 0. 2.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [1. 0. 0.]
 [0. 0. 0.]]",1.0,0.0,3.0,3.0,0.0,0.8249999999849852,-0.5352599999902583,6.0,0.48199999997097437,0.0
174585.0,63.70979999999999,4.077427199999999,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 2.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",2.0,0.0,2.0,2.0,0.0,0.5638290514972366,1.5011384667062426,8.0,0.3872812341782664,0.0
174586.0,106.5064,6.8164096,"[[0. 0. 0.]
 [1. 1. 0.]
 [0. 1. 0.]]","[[0. 0. 0.]
 [0. 1. 0.]
 [0. 0. 0.]]",0.0,0.0,2.0,2.0,0.0,1.1992149088835549,2.5835885996987304,9.0,1.081999999968219,0.0
174587.0,59.5056,3.8083584000000004,"[[0. 0. 1.]
 [0. 0. 0.]
 [0. 1. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,2.0,2.0,0.0,0.8112500035231467,2.2364540097126104,10.0,1.0280000008223154,0.0
174588.0,49.48020000000001,3.1667328000000006,"[[0. 0. 0.]
 [0. 1. 1.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,2.0,2.0,0.0,0.31753837101875604,1.1969926433923002,11.0,0.8159371787626697,0.0
174589.0,117.50199999999998,7.520127999999999,"[[0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,3.0,3.0,0.0,0.06875000014850713,0.6166600013320496,12.0,0.5678960848102547,0.0
174590.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.7440445109545284,2.5571321752485234,9.0,0.4482705117083199,0.7867058482117214
174591.0,26.949999999999992,1.7247999999999994,"[[0. 1. 0.]
 [0. 0. 0.]
 [0. 0. 1.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",1.0,0.0,2.0,2.0,0.0,1.0312499995007434,3.047549998524597,9.0,0.4149371782539546,0.0
174592.0,18.110400000000002,1.1590656000000001,"[[0. 0. 1.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,1.0,1.0,0.0,0.9184999999637371,2.591639599897681,8.0,0.38160384491183025,0.7199692752489273
174593.0,176.36079999999998,11.287091199999999,"[[0. 0. 1.]
 [0. 0. 1.]
 [0. 1. 1.]]","[[0. 0. 1.]
 [0. 0. 0.]
 [0. 0. 0.]]",1.0,1.0,1.0,2.0,0.0,1.1686132786674148,3.19078169607351,9.0,1.086237367013022,0.0
174594.0,97.4512,6.2368768,"[[0. 0. 0.]
 [0. 1. 0.]
 [1. 0. 0.]]","[[1. 0. 0.]
 [0. 1. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.15481935253874513,0.5836070313300524,7.0,1.5211857981981596,0.0
174595.0,226.2402,14.4793728,"[[0. 0. 0.]
 [2. 0. 0.]
 [0. 0. 2.]]","[[0. 0. 1.]
 [1. 0. 0.]
 [0. 0. 0.]]",0.0,2.0,0.0,2.0,0.0,-0.5389999999779895,-23.334387999047124,11.0,2.6840792769310093,0.0
174596.0,30.615199999999998,1.9593728,"[[0. 0. 0.]
 [0. 0. 1.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,1.0,1.0,0.0,-0.4453579940050248,-19.16642663000025,10.0,2.2425074586217093,0.0
174597.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,-0.10456739239486426,-4.4943901790451815,10.0,1.8814047886748761,0.0
174598.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.8521592005849681,2.404452400370546,10.0,1.7546555039682021,0.0
174599.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.9797688420383337,2.714351599983,9.0,1.692175223250222,0.0
174600.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.029663922639119822,0.11182112278042583,9.0,1.399366477223342,0.0
174601.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,8.71834271443106e-11,8.340315374333321e-10,9.0,1.0993664772444776,0.0
174602.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.2749999999309617,1.0157399997450003,9.0,0.8660331438944077,0.0
174603.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,1.2374999999143839,3.1947299997789735,9.0,0.8660331438736523,0.0
174604.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,1.23749999998287,2.737349999962099,9.0,0.8660331438694996,0.0
174605.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.4151132760304474,1.2582913623034921,9.0,0.6666666653314262,0.0
174606.0,112.95839999999998,7.229337599999999,"[[0. 0. 0.]
 [1. 0. 0.]
 [0. 1. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",1.0,1.0,0.0,1.0,0.0,1.5124999997033701,3.3214499993486006,11.0,0.8173828062613712,0.0
174607.0,107.6922,6.8923008,"[[0. 1. 0.]
 [1. 0. 0.]
 [1. 0. 0.]]","[[1. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,2.0,2.0,0.0,0.6421250066215595,1.9561696201719136,10.0,0.8067161411999311,1.5066751234606488
174608.0,45.922799999999995,2.9390591999999995,"[[1. 0. 0.]
 [0. 0. 0.]
 [0. 1. 0.]]","[[1. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",1.0,0.0,0.0,0.0,0.0,1.3749999999914346,-3.55409999997786,10.0,1.0647161411978545,0.7199692752489273
174609.0,11.318999999999999,0.724416,"[[0. 0. 0.]
 [0. 0. 1.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,1.0,1.0,0.0,0.383420926330841,1.2959627309982427,10.0,0.8560000021265435,0.9199692752489272
174610.0,32.0166,2.0490624,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 1. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,1.0,1.0,0.0,1.3749999954337027,3.6255999879595873,10.0,0.9570000010195623,0.0
174611.0,23.931600000000003,1.5316224000000003,"[[0. 0. 1.]
 [0. 0. 1.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,2.0,2.0,0.0,-0.07287499839840095,-1.2319955729240064,10.0,0.6292511467737341,0.9867058482117215
174612.0,21.559999999999995,1.3798399999999997,"[[1. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",1.0,0.0,1.0,1.0,0.0,0.04221400172120182,0.5343617193876607,8.0,0.43853238103507325,0.0
174613.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.6874999959304229,2.175799987120602,7.0,0.3718657133818425,0.0
174614.0,201.24659999999994,12.879782399999996,"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]","[[0. 0. 1.]
 [0. 0. 0.]
 [0. 0. 0.]]",1.0,1.0,3.0,4.0,0.0,1.0632594240238196,3.3803143608565267,12.0,1.1073417147531088,0.0
174615.0,55.08579999999999,3.5254911999999994,"[[0. 0. 0.]
 [1. 0. 0.]
 [1. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",2.0,0.0,0.0,0.0,0.0,0.2445085147987693,1.2215645399346515,14.0,0.728664043099999,0.0
174616.0,50.77380000000001,3.2495232000000005,"[[0. 0. 0.]
 [0. 0. 0.]
 [1. 1. 1.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 1. 0.]]",2.0,0.0,1.0,1.0,0.0,1.5289999943589376,3.8873295856581636,13.0,1.0423307083990772,1.173411696423443
174617.0,0.0,0.0,"[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]","[[0. 0. 0.]
 [0. 0. 0.]
 [0. 0. 0.]]",0.0,0.0,0.0,0.0,0.0,0.41249999987616287,1.6001699995196108,8.0,0.8742896143806147,0.0
