name,transf,client,payoff,total
ASAP,14240.008599897958,18301.2382464,0.0,4061.2296465020427
NoV2G,7976.944281033786,18301.2382464,0.0,10324.293965366214
Optim,6704.185749601744,18301.2382464,1535.1079069840248,10061.944589814233
Oracle_NoV2G,7976.944276659151,18301.2382464,0.0,10324.29396974085
Oracle,6704.185742606371,18301.2382464,1535.1079069840248,10061.944596809606
Oracle,6704.185743450426,18301.2382464,1535.1079069840248,10061.94459596555
Optim_eta1,6335.623991239832,18301.2382464,1592.6574124256708,10372.956842734498
Oracle_eta1,6335.6239842982895,18301.2382464,1592.6574124256708,10372.95684967604
RL_untrained_sep,12866.025643071882,18301.2382464,1535.1079069840248,3900.104696344095
RL_untrained_lay,12737.157628932166,18301.2382464,1535.1079069840248,4028.972710483811
Optim_10,5088.522834370239,18301.2382464,1733.1290251669222,11479.586386862837
