session,ChargePoint,Connector,starttime_parking,endtime_parking,StartCard,connected_time_float,charged_time_float,total_energy,max_power,start_hour,day_no,energy_supplied,soc_arr,charged_time,connected_time,ts_arr,ts_dep,ts_soj,laxity,depart_hour,xi,laxity_float
3386682,71db3471896e0da6e552730d77a0f496,1,2019-05-01 05:50:00,2019-05-01 15:12:00,02d7584a8ecdc9fd4c20b91759667e7ab43a9f9a493254c5c80940bf4ff2522c,9.36,1.9,6.11,3.6,5,120,20.482,0.713975,2.0,10.0,169445.0,169455.0,10.0,8.1,15.0,43.650091817996326,7.46
3386743,efecf090c13ee952eb9458280e14ef06,1,2019-05-01 06:37:00,2019-05-01 10:42:00,d20d83320f09f19a9acb1dcf902925a9b1d7e23d289f0aa9a2d96f7501c89e33,4.08,2.25,7.01,3.52,6,120,24.255,0.6668125,3.0,5.0,169446.0,169451.0,5.0,2.7500000000000004,11.0,14.819475617220975,1.8300000000000003
3386699,0c29b81ecb3c43a8cf03a05f3087632a,1,2019-05-01 06:06:00,2019-05-01 16:05:00,0ca2879d6246fa9199487b09a101719ed712519451bc1ca64d202cfd7159dbac,9.98,2.31,6.73,3.36,6,120,24.9018,0.6587275,3.0,10.0,169446.0,169456.0,10.0,7.69,16.0,41.44064272597429,7.670000000000001
3386716,64e118e66a7865a07fd513d5f3a3672b,1,2019-05-01 06:20:00,2019-05-01 16:26:00,4b8b1be5691c5d80e90d4abea4cecdf288455bb94347e17d74d15d71da3f7f1a,10.1,1.5,4.65,3.48,6,120,16.169999999999998,0.767875,2.0,11.0,169446.0,169457.0,11.0,9.5,17.0,51.19455213221791,8.6
3386694,825b35842a6d0466d0b4800e46a8e7c0,2,2019-05-01 06:05:00,2019-05-01 16:55:00,e8dbed927fe3ee8b63a41e28dd47efc663e6978d77cb3e5955e38b8e0b47d8ee,10.84,3.67,11.82,3.48,6,120,39.5626,0.4754675,4.0,11.0,169446.0,169457.0,11.0,7.33,17.0,39.500638645174455,7.17
3386799,bd952c44fd9a149f4f55195fc2337b5e,2,2019-05-01 07:18:00,2019-05-01 09:36:00,e5d8cd7eacd23876c3b0749c1da96d13f9dd780ca72bfc3bc3c945144d1a9627,2.3,1.94,4.43,3.595,7,120,20.9132,0.708585,2.0,3.0,169447.0,169450.0,3.0,1.0600000000000005,10.0,5.712234237910631,0.3600000000000001
3386842,98c0f68259e83e83b6fe92dcd5eb700c,2,2019-05-01 07:53:00,2019-05-01 10:02:00,fc11ce394a79477e1f12a3f3dcd426a9247d4f101175b2c58e8b0356bbb1481f,2.14,2.14,21.669,10.36,7,120,23.0692,0.681635,3.0,3.0,169447.0,169450.0,3.0,0.8599999999999999,10.0,4.634454193021831,0.0
3386804,6ce63d8239ef5566545ce34350cae62d,1,2019-05-01 07:21:00,2019-05-01 11:08:00,da5d92c6455ca3f0695b8a40d167475e98036c3fc955024e6c69df35dbdab828,3.79,3.54,8.38,3.28,7,120,38.1612,0.4929849999999999,4.0,4.0,169447.0,169451.0,4.0,0.4599999999999995,11.0,2.478894103244233,0.2499999999999995
3386915,a554e6b4b3d5489a6bc7bcddf8e7d737,1,2019-05-01 08:56:00,2019-05-01 09:56:00,d4baa831301aa742eecfc894f8a8f656449324357db65fb403a325f141264996,0.99,0.99,10.13,10.44,8,120,10.6722,0.8365975,1.0,1.0,169448.0,169449.0,1.0,0.0100000000000001,9.0,0.0538890022444405,1.1102230246251563e-16
3386891,b87a7e3826e9481b679fcb03ffd6df21,1,2019-05-01 08:31:00,2019-05-01 09:40:00,655965fbc7b244f0ad56820b368ea0b7d176c1bec82a1477fccf0280317435a1,1.16,1.16,3.92,3.429,8,120,12.504799999999998,0.81369,2.0,2.0,169448.0,169450.0,2.0,0.8400000000000003,10.0,4.526676188532954,2.220446049250313e-16
3386903,6c777e8fce741b80af42454cbb5d49da,2,2019-05-01 08:44:00,2019-05-01 13:09:00,fe19b275f0f126f2b58b50e5ac077835f37dde83209cab21d166f67bc43bc4e7,4.42,1.25,3.46,3.56,8,120,13.475,0.8015625,2.0,5.0,169448.0,169453.0,5.0,3.75,13.0,20.208375841664967,3.17
3386856,b73f729bd3924665d40f9c61b76c0c6e,2,2019-05-01 08:04:00,2019-05-01 15:21:00,23d6f5464c436cb9664c0d637d963db1d5bf267357f18b9a3e26f13e6ee1eaed,7.29,3.08,7.32,3.36,8,120,33.2024,0.55497,4.0,8.0,169448.0,169456.0,8.0,4.92,16.0,26.513389104264437,4.21
3386958,407944ca9c3972fb0b62687257474cd1,2,2019-05-01 09:43:00,2019-05-01 10:03:00,a630ef4a83f5a5fa93d710d417051ec45750c862733cde52c74d932016815c9d,0.32,0.32,1.11,3.615,9,120,3.4496,0.92688,1.0,1.0,169449.0,169450.0,1.0,0.6799999999999996,10.0,3.664452152621912,-3.8857805861880484e-16
3386951,70426ded4e14ab864a5d6478dae67ad9,1,2019-05-01 09:40:00,2019-05-01 11:31:00,2d4cd544f06a0335b34558770112bea732a50a766c3143a88ddff069b7213a9e,1.85,1.85,6.31,7.0,9,120,19.943,0.7207125,2.0,2.0,169449.0,169451.0,2.0,0.1500000000000001,11.0,0.8083350336665993,2.220446049250313e-16
3386990,a6740b779d1a5d2ef78a220f5fbcd4b2,2,2019-05-01 10:15:00,2019-05-01 11:47:00,c2aadb7acd7cf583e768846fa411ca9c0677e861d68648f7f4f8fd401370c75d,1.54,1.54,4.28,3.24,10,120,16.6012,0.762485,2.0,2.0,169450.0,169452.0,2.0,0.4599999999999999,12.0,2.478894103244236,0.0
3386985,473dbb43c0358ccf7d9e426dc2ee2831,2,2019-05-01 10:13:00,2019-05-01 12:27:00,0dee424bcae383d71f9a318b4551576aebde893a0ec6e63ccf97007e1eab18e4,2.23,2.23,7.81,3.68,10,120,24.0394,0.6695075,3.0,3.0,169450.0,169453.0,3.0,0.7700000000000005,13.0,4.149453172821875,4.440892098500626e-16
3387002,250bf5fa1c0eaadabcf8f996cd63a2c0,2,2019-05-01 10:27:00,2019-05-02 10:14:00,f978dd7e00e674dd28702212021ff4076afcf62f01ebdb55436f649afb38cc10,23.79,2.0,6.4,3.3560000000000003,10,120,21.56,0.7005,2.0,24.0,169450.0,169474.0,24.0,22.0,34.0,118.5558049377678,21.79
3387031,e62c50d1be0a2f80ec51d471f9630a4e,2,2019-05-01 11:03:00,2019-05-01 11:35:00,d318cefed7a0376b3bc9206ccfe4b71ceef88ad1ec289f688d588fd407fbc8d3,0.53,0.53,1.86,3.6,11,120,5.7134,0.8985825,1.0,1.0,169451.0,169452.0,1.0,0.4699999999999997,12.0,2.5327831054886745,-2.220446049250313e-16
3387085,3b562cdfc2e6459bca8876394db32ee4,1,2019-05-01 11:50:00,2019-05-01 13:22:00,ca5334700863d44404980fe2fe1955551855abf71033c649f9ed4e9049d75bb7,1.52,1.52,5.69,3.764,11,120,16.3856,0.76518,2.0,2.0,169451.0,169453.0,2.0,0.48,13.0,2.5866721077331154,0.0
3387082,7cb8dcf43a22ede0498c4a0240a026e2,1,2019-05-01 11:48:00,2019-05-01 13:57:00,bb5a1705a489de414f01c9da034ad3dd90872975e8a797e62242cf2285d162f1,2.15,2.15,6.91,3.216,11,120,23.177,0.6802875,3.0,3.0,169451.0,169454.0,3.0,0.8500000000000005,14.0,4.580565190777395,4.440892098500626e-16
