session,ChargePoint,Connector,starttime_parking,endtime_parking,StartCard,connected_time_float,charged_time_float,total_energy,max_power,start_hour,day_no,energy_supplied,soc_arr,charged_time,connected_time,ts_arr,ts_dep,ts_soj,laxity,depart_hour,xi,laxity_float
3558752,8446899d243f5cac1ae20aff43356a07,2,2019-11-01 05:53:00,2019-11-01 14:04:00,d976351bca7c02282b2307697318e79c0a889f378eeff21c858077be373a69a4,8.19,1.5,4.64,3.52,5,304,16.169999999999998,0.767875,2.0,9.0,173861.0,173870.0,9.0,7.5,14.0,40.416751683329935,6.69
3558759,77f1fe6804d83f4e8faf0404a00d0d57,2,2019-11-01 06:06:00,2019-11-01 09:40:00,4fb2139e1d6863854cbf12f1a8a4bf7332463f95cf9d779b2667ba9baffe3db9,3.56,1.24,4.21,5.4,6,304,13.3672,0.80291,2.0,4.0,173862.0,173866.0,4.0,2.76,10.0,14.873364619465416,2.3200000000000003
3558760,60b4c8d467eb9294696ab8c01bbdb908,2,2019-11-01 06:06:00,2019-11-01 15:45:00,fd1071ae26f7715d6e946f76270db97ea892c4193e2fc0447030e36a7312e7ee,9.65,2.85,9.26,5.4,6,304,30.723,0.5859624999999999,3.0,10.0,173862.0,173872.0,10.0,7.15,16.0,38.530636604774536,6.8
3558818,559f3dce780f450baa1a7d0fe8b89731,1,2019-11-01 07:09:00,2019-11-01 07:37:00,15d9b8fd91b6f9c2ee1c9dcb0319467cd3cd70b60761a648eaaa004a64b7e902,0.46,0.45,0.86,3.136,7,304,4.851,0.9093625,1.0,1.0,173863.0,173864.0,1.0,0.5499999999999998,8.0,2.963895123444194,0.0099999999999998
3558904,31892752cfd5a5693c5c0159b0c69513,2,2019-11-01 07:54:00,2019-11-01 09:21:00,47aceba86b398a68cecea7cadb4d0b483663dcd21168dfd3d5fbed6ee978595f,1.44,1.44,15.76,11.04,7,304,15.5232,0.77596,2.0,2.0,173863.0,173865.0,2.0,0.56,9.0,3.017784125688635,0.0
3558899,ae253c3a7c2b8cbbc8dc2f492b0cfc58,2,2019-11-01 07:51:00,2019-11-01 11:26:00,186d0673a569bb25b0198d307a316f9e089130e79dcf92fb12f22a5bffecc5e1,3.59,3.15,32.03,11.4,7,304,33.956999999999994,0.5455375,4.0,4.0,173863.0,173867.0,4.0,0.8500000000000005,11.0,4.580565190777395,0.4400000000000004
3558874,00fa448dfcba79a12a3cea56fb48d63f,2,2019-11-01 07:37:00,2019-11-01 15:15:00,ba5eb7ffb6cce4878ecc18cfeb5ee96328f008e7f448cadceda2bf9a568481b0,7.63,6.63,46.93,7.52,7,304,71.47139999999999,0.0766075000000001,7.0,8.0,173863.0,173871.0,8.0,1.370000000000001,15.0,7.3827933074882734,1.0000000000000009
3558981,7445277be2397ca59aecac98e5c591a6,1,2019-11-01 08:46:00,2019-11-01 15:07:00,9289286255cce4b1e5bde2fdab7d0b5b8e322ba7af63a765c83a1601a6556226,6.34,6.34,21.73,3.484,8,304,68.34519999999999,0.115685,7.0,7.0,173864.0,173871.0,7.0,0.6600000000000001,15.0,3.556674148133035,0.0
3559111,f754d06b0a6bfc9220996db48f7b6d35,1,2019-11-01 10:42:00,2019-11-01 12:31:00,eea0e42420a194d5700773a67fd6ce1630400e7cdbbfd4425263fb00c99c5fc1,1.81,1.04,7.15,7.04,10,304,11.2112,0.82986,2.0,2.0,173866.0,173868.0,2.0,0.9600000000000004,12.0,5.1733442154662335,0.7700000000000005
3559185,361620e756c2caa968c044429f6663a5,1,2019-11-01 11:41:00,2019-11-01 12:00:00,a6b1bd0d7905e5823e5759153e91cfbac926a0e9fea7977ec53fbce005f32283,0.31,0.31,3.27,10.8,11,304,3.3418,0.9282275,1.0,1.0,173867.0,173868.0,1.0,0.6900000000000001,12.0,3.718341154866354,5.551115123125783e-17
3559152,78fe2c092b0063bfcfcce20ea8eeb69d,1,2019-11-01 11:15:00,2019-11-01 14:09:00,9e2705020922e4c460fb319172516b3a22b9da67c08c6e95fb6bcacba4bd3e97,2.9,2.75,8.08,3.364,11,304,29.645,0.5994375,3.0,3.0,173867.0,173870.0,3.0,0.2499999999999995,14.0,1.3472250561109953,0.1499999999999994
3559184,024080f5dfb92f9b2a84e143a12118e0,2,2019-11-01 11:39:00,2019-11-01 16:06:00,e4bf701b0e864fddc471ea25c7eb2d36898c3aab08bc8a8f4856e6a5b12c5433,4.46,0.25,1.38,5.52,11,304,2.695,0.9363125,1.0,5.0,173867.0,173872.0,5.0,4.75,16.0,25.597276066108957,4.21
3559144,d7104cf2be1dc0ef5e1ef063e26722d2,2,2019-11-01 11:10:00,2019-11-01 17:36:00,22a7a6b4473ec868e56da470a7238f69b631bf9408efa66623124ae31afb5192,6.43,6.43,21.22,3.68,11,304,69.3154,0.1035574999999999,7.0,7.0,173867.0,173874.0,7.0,0.5700000000000003,18.0,3.071673127933076,0.0
3559229,20ee968026dafb98ca94f5238cde9689,2,2019-11-01 12:22:00,2019-11-01 13:34:00,c3df5e7cb2183d07862ed2fd05a52c1ab4f2fbbf578f529c39d95f2eba03c7b7,1.2,1.2,4.19,3.576,12,304,12.935999999999998,0.8083,2.0,2.0,173868.0,173870.0,2.0,0.8000000000000003,14.0,4.311120179555194,2.220446049250313e-16
3559268,fe6c3a7b44bedd2fc667a2278f693d69,1,2019-11-01 12:54:00,2019-11-01 13:57:00,891cc9f775023419c6c42af6938bfec9be0e42b0e4f20aeba5a5a56fdf10e21e,1.04,1.04,11.45,11.444,12,304,11.2112,0.82986,2.0,2.0,173868.0,173870.0,2.0,0.9600000000000004,14.0,5.1733442154662335,4.440892098500626e-16
3559324,f2b30412370113f4cd371d0f5cebd0e7,1,2019-11-01 13:47:00,2019-11-01 14:28:00,72df193ab3cac941d704681ec994cf29e8ade944e004cc8c61e5c09fb845f4c1,0.68,0.68,2.38,3.56,13,304,7.3304,0.87837,1.0,1.0,173869.0,173870.0,1.0,0.32,14.0,1.7244480718220776,1.1102230246251563e-16
3559338,467cf25d49684acd0f7f95e924732807,2,2019-11-01 13:49:00,2019-11-01 14:21:00,178dae4631d9ff93c2541a7e846349125e4e7dfddee147cec1e7a10f5165443c,0.54,0.54,1.82,3.4930000000000003,13,304,5.8212,0.897235,1.0,1.0,173869.0,173870.0,1.0,0.4600000000000002,14.0,2.4788941032442366,2.220446049250313e-16
3559307,9d74d6b118e4ddf4be4d6606749ec5f8,1,2019-11-01 13:30:00,2019-11-01 14:33:00,fe425ed78528e8170b975b1581da41c469cc52ff473d5f60ed3bb4c8341e833c,1.04,1.04,3.64,3.604,13,304,11.2112,0.82986,2.0,2.0,173869.0,173871.0,2.0,0.9600000000000004,15.0,5.1733442154662335,4.440892098500626e-16
3559348,cb2b9d63b2a0c9de80928afd5ce14afc,2,2019-11-01 13:58:00,2019-11-02 10:21:00,9da27c580dcb8d3ad723ec4a8f759b9a53a20398e6b076d1f7243a6afd17e664,20.39,2.95,8.24,4.8,13,304,31.801,0.5724875,3.0,21.0,173869.0,173890.0,21.0,18.05,34.0,97.26964905121405,17.44
3559389,879260352d1f160cc292d33f5437bebe,1,2019-11-01 14:36:00,2019-11-01 20:03:00,819fbfb2329cc483bf0c9e64c9165c7d737ac8bc5d7130f1eb569acd0ecca6c3,5.45,2.25,6.32,3.52,14,304,24.255,0.6668125,3.0,6.0,173870.0,173876.0,6.0,3.75,20.0,20.208375841664967,3.2000000000000006
3559456,b38dedc3491bb1d6eb6e0b52b14feb45,2,2019-11-01 15:29:00,2019-11-02 10:27:00,e81cf7c2ffead3905279173fd26914b22de2be14a1e27b5896a604324dae3d34,18.97,16.52,55.1,3.68,15,304,77.6,0.0,17.0,19.0,173871.0,173890.0,19.0,11.801484230055658,34.0,63.59702101611916,11.771484230055655
3559545,75c3f206f02ba700ea7d10be38e77704,1,2019-11-01 16:21:00,2019-11-01 16:35:00,765161d8ea694d57d4c581cc4e05db09938da638243f5ca04959be1184ab7aec,0.25,0.25,0.86,3.465,16,304,2.695,0.9363125,1.0,1.0,173872.0,173873.0,1.0,0.7500000000000001,17.0,4.0416751683329935,1.1102230246251563e-16
3559599,60fd709f979efee2faf3c953883aa478,2,2019-11-01 16:49:00,2019-11-01 20:16:00,1ed72e6470900c8f55cb3bc4f6982d0a6c9df058483e9ecb7e1c9588c66b9620,3.45,3.0,7.84,2.88,16,304,32.34,0.56575,3.0,4.0,173872.0,173876.0,4.0,0.9999999999999996,20.0,5.388900224443988,0.4499999999999997
3559554,3a3d9bb72714a5e159a6dd8f86f048a9,1,2019-11-01 16:26:00,2019-11-01 22:54:00,934a7ad91ecfb4152483067668efb01c01058ab8088ede415aa8c62d07b13658,6.47,1.06,2.39,2.893,16,304,11.4268,0.8271649999999999,2.0,7.0,173872.0,173879.0,7.0,5.94,23.0,32.010067333197306,5.409999999999999
3559531,3c6d6e10ffe804f72d13789b7a7b8822,2,2019-11-01 16:17:00,2019-11-02 00:07:00,6fd5723d0388d696c8bf3e880da846fdfcb2d2af969047075d448c3524efb297,7.84,5.25,29.74,5.96,16,304,56.595,0.2625625,6.0,8.0,173872.0,173880.0,8.0,2.75,24.0,14.819475617220975,2.59
3559610,75c3f206f02ba700ea7d10be38e77704,2,2019-11-01 16:56:00,2019-11-02 07:54:00,998c78521a557afe07fc17235c6714634f4850cb7e4f8ecab6f2e0a41a3943f1,14.98,9.97,34.66,3.688,16,304,77.6,0.0,10.0,15.0,173872.0,173887.0,15.0,7.801484230055658,31.0,42.0414201183432,7.781484230055659
3559534,ae0c9873d6abdf47f3eab565ad6ac019,1,2019-11-01 16:18:00,2019-11-02 08:45:00,6ebd25a2ce81d7f911622d4b93de880e1045cc1e391095e5e57d0b6a2195724a,16.45,2.5,7.02,3.32,16,304,26.95,0.6331249999999999,3.0,17.0,173872.0,173889.0,17.0,14.5,33.0,78.13905325443787,13.95
3559688,fef9a643254dcfeaed8bbed48ba7bd26,1,2019-11-01 17:51:00,2019-11-02 16:01:00,a16ae7baa2fdf4eae38451f8eae8dc61f604a938147a702e8a153fc515d5da22,22.16,5.0,14.69,4.28,17,304,53.9,0.29625,5.0,23.0,173873.0,173896.0,23.0,18.0,40.0,97.00020403999184,17.16
3559634,02cdadd8d5a48b4d238b8c824cefd8a7,1,2019-11-01 17:08:00,2019-11-02 15:10:00,7ba53de22d9f11daac8f659a33af3c7c19a7d410e132aa9c9030d14aecf41d9f,22.04,1.5,4.1,3.4,17,304,16.169999999999998,0.767875,2.0,23.0,173873.0,173896.0,23.0,21.5,40.0,115.8613548255458,20.54
3559744,7ed30b066a5383b037955d0ab6992be1,2,2019-11-01 18:27:00,2019-11-01 20:04:00,a6aa367282fda8206e0b0a6b554fecbcd3e015cd9ce69de435fac0773ea3c81d,1.61,1.61,14.22,9.04,18,304,17.3558,0.7530525,2.0,2.0,173874.0,173876.0,2.0,0.3900000000000003,20.0,2.101671087533158,4.440892098500626e-16
