do,agent,save_name,reward_coef,proj_coef,lax_coef,optimizer,learning_rate,logstd,n_state,hidden,relu,no_safety,norm_state,without_perc,norm_reward,reset_std,file_price,seq,years,num_steps,anneal_lr,update_epochs,num_minibatches,save_agent
T,PPO-agg,month_agg_a,1,0,0,SDG,0.0001,-2,38,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_b,1,1,0,SDG,0.001,-2,38,64,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_c,1,0,1,Adam,0.0003,-1.5,38,64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_d,1,0,0,Adam,0.03,-2.5,38,64,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,2,1,T
T,PPO-agg,month_agg_e,1,0,0,Adam,0.0001,-1.5,38,64,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_f,1,0,10,Adam,0.0003,-1,38,128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_g,1,100,0,Adam,0.0003,-2,38,256,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_h,1,0,0,Adam,0.0003,-0.1,38,64,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,20,1,T
T,PPO-agg,month_agg_i,1,0,0,Adam,0.0003,-1,38,64,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_j,1,0,0,Adam,0.0003,1.5,38,64,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_k,1,0,0,Adam,0.0003,-2,18,64,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_l,1,0,0,Adam,0.0003,0,38,64,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_m,0.001,0,0,Adam,0.0003,0.1,38,64,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_n,100,0,0,Adam,0.0001,-2,18,128,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,df_price_2019_pad.csv,e,50,24,TRUE,10,8,T
T,PPO-agg,month_agg_o,1,0,0,SDG,0.01,-2,18,128,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_p,1,0,0.1,Adam,0.0003,-2,18,64,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,df_price_2019_pad.csv,e,50,48,TRUE,20,1,T
T,PPO-agg,month_agg_q,1,10,0,Adam,0.0003,-2,18,64,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,2,1,T
T,PPO-agg,month_agg_r,1,0,1,Adam,0.0003,-2,18,256,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,df_price_2019_pad.csv,e,50,8,TRUE,10,1,T
T,PPO-agg,month_agg_s,1,0.1,0,Adam,0.0003,-2,18,64,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_t,1,0.1,0.1,Adam,0.0003,-2,18,512,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
T,PPO-agg,month_agg_u,1,0,0,Adam,0.0003,-2,18,64,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,df_price_2019_pad.csv,e,50,24,TRUE,10,1,T
